x1,ECG,x2,receiver,x3,Vg,x4,Received
,,,,,,141.66677,100.03846
,,,,,,142.00011,100.03846
,,,,,,142.33344,100.03846
,,,,,,142.66678,100.0
,,,,,,143.00011,100.03846
,,,,,,143.33345,99.96154
,,,,,,143.66678,100.07692
,,,,,,144.00012,100.03846
,,,,,,144.33345,99.96154
,,,,,,144.66679,99.96154
,,,,,,145.00012,99.96154
,,,,,,145.33346,99.96154
,,,,,,145.66679,99.96154
,,,,,,146.00013,99.92308
,,,,,,146.33346,100.0
,,,,,,146.6668,99.96154
,,,,,,147.00013,99.96154
,,,,,,147.33347,99.92308
,,,,,,147.6668,100.0
,,,,,,148.00014,100.0
,,,,,,148.33347,100.03846
,,,,,,148.66681,100.03846
,,,,,,149.00014,100.03846
,,,,,,149.33348,100.07692
,,,,,,149.66681,100.0
,,,,,,150.00015,100.0
,,,,,,150.33348,100.0
,,,,,,150.66682,100.0
,,,,,,151.00015,99.96154
,,,,,,151.33349,99.92308
,,,,,,151.66682,99.96154
,,,,,,152.00016,100.03846
,,,,,,152.33349,100.0
,,,,,,152.66683,100.03846
,,,,,,153.00016,100.03846
,,,,,,153.3335,100.07692
,,,,,,153.66683,100.03846
,,,,,,154.00017,99.96154
,,,,,,154.3335,99.92308
,,,,,,154.66684,99.96154
,,,,,,155.00017,100.03846
,,,,,,155.33351,100.03846
,,,,,,155.66684,99.96154
,,,,,,156.00018,99.96154
,,,,,,156.33351,99.96154
,,,,,,156.66685,100.0
,,,,,,157.00018,100.0
,,,,,,157.33352,99.96154
,,,,,,157.66685,99.96154
,,,,,,158.00019,99.92308
,,,,,,158.33352,99.96154
,,,,,,158.66686,100.0
,,,,,,159.00019,100.03846
,,,,,,159.33353,100.03846
,,,,,,159.66686,100.03846
,,,,,,160.0002,100.03846
,,,,,,160.33353,100.03846
,,,,,,160.66687,100.07692
,,,,,,161.0002,100.07692
,,,,,,161.33354,100.0
,,,,,,161.66687,99.92308
,,,,,,162.00021,99.88462
,,,,,,162.33354,99.84615
,,,,,,162.66688,100.0
,,,,,,163.00021,100.07692
,,,,,,163.33355,100.03846
,,,,,,163.66688,100.0
,,,,,,164.00022,99.96154
,,,,,,164.33355,99.92308
,,,,,,164.66689,99.96154
,,,,,,165.00022,100.0
,,,,,,165.33356,100.03846
,,,,,,165.66689,100.03846
,,,,,,166.00023,100.03846
,,,,,,166.33356,100.0
,,,,,,166.6669,100.03846
,,,,,,167.00023,100.03846
,,,,,,167.33357,100.0
,,,,,,167.6669,100.07692
,,,,,,168.00024,100.03846
,,,,,,168.33357,99.92308
,,,,,,168.66691,99.92308
,,,,,,169.00024,99.88462
,,,,,,169.33358,99.92308
,,,,,,169.66691,99.96154
,,,,,,170.00025,100.03846
,,,,,,170.33358,100.03846
,,,,,,170.66692,100.0
,,,,,,171.00025,100.03846
,,,,,,171.33359,99.96154
,,,,,,171.66692,100.07692
,,,,,,172.00026,100.03846
,,,,,,172.33359,99.96154
,,,,,,172.66693,99.96154
,,,,,,173.00026,99.96154
,,,,,,173.3336,99.96154
,,,,,,173.66693,99.96154
,,,,,,174.00027,99.92308
,,,,,,174.3336,100.0
,,,,,,174.66694,100.0
,,,,,,175.00027,100.03846
,,,,,,175.33361,100.03846
,,,,,,175.66694,100.03846
,,,,,,176.00028,100.07692
,,,,,,176.33361,100.0
,,,,,,176.66695,100.0
,,,,,,177.00028,100.0
,,,,,,177.33362,100.0
,,,,,,177.66695,99.96154
,,,,,,178.00029,99.92308
,,,,,,178.33362,99.96154
,,,,,,178.66696,100.03846
,,,,,,179.00029,100.0
,,,,,,179.33363,100.03846
,,,,,,179.66696,100.03846
,,,,,,180.0003,100.07692
,,,,,,180.33363,100.03846
,,,,,,180.66697,99.96154
,,,,,,181.0003,99.92308
,,,,,,181.33364,99.96154
,,,,,,181.66697,100.03846
